Price,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Last Sold Year,Last Sold For,Address,City,State,Zipcode,Address Full
3625000.0,5530.0,-111.93129,33.49191,9374.0,4.0,5.0,2019.0,2019.0,125000.0," 6933 E 1st St #B Scottsdale, AZ 85251 ",Scottsdale,AZ,85251.0,"6933 E 1st St #B, Scottsdale, AZ 85251"
115000.0,1134.0,-90.06893,29.981304,3080.0,2.0,1.0,1955.0,2019.0,125000.0," 2408 George Nick Connor Dr New Orleans, LA 70119 ",New Orleans,LA,70119.0,"2408 George Nick Connor Dr, New Orleans, LA 70119"
479000.0,2558.0,-98.51832,29.62359,6011.0,3.0,3.0,2011.0,2019.0,125000.0," 1435 Melanie Cir San Antonio, TX 78258 ",San Antonio,TX,78258.0,"1435 Melanie Cir, San Antonio, TX 78258"
194900.0,800.0,-89.330025,43.096016,9770.0,2.0,1.0,1949.0,2015.0,147900.0," 101 Leon St Madison, WI 53714 ",Madison,WI,53714.0,"101 Leon St, Madison, WI 53714"
92500.0,1230.0,-95.90212,36.15365,8059.0,3.0,2.0,1947.0,2019.0,125000.0," 6701 E 5th Pl Tulsa, OK 74112 ",Tulsa,OK,74112.0,"6701 E 5th Pl, Tulsa, OK 74112"
16700.0,2242.0,-81.636055,41.46261,5120.0,4.0,2.0,1900.0,2019.0,12000.0," 3524 E 75th St Cleveland, OH 44105 ",Cleveland,OH,44105.0,"3524 E 75th St, Cleveland, OH 44105"
699000.0,2604.0,-122.65312,45.498703,5000.0,6.0,3.0,1972.0,2019.0,125000.0," 1178 SE Pershing St Portland, OR 97202 ",Portland,OR,97202.0,"1178 SE Pershing St, Portland, OR 97202"
1050000.0,2443.0,-111.96908,33.492996,14810.400000000001,4.0,2.0,1962.0,2011.0,534000.0," 5244 E Calle Redonda Phoenix, AZ 85018 ",Phoenix,AZ,85018.0,"5244 E Calle Redonda, Phoenix, AZ 85018"
1230000.0,1572.0,-117.16249,32.708916,77101.2,2.0,2.0,1992.0,1998.0,613000.0," 200 Harbor Dr #3001 San Diego, CA 92101 ",San Diego,CA,92101.0,"200 Harbor Dr #3001, San Diego, CA 92101"
250000.0,1174.0,-93.225716,45.0391,1742.0,2.0,2.0,2006.0,2007.0,249386.0," 3913 Roosevelt St NE Minneapolis, MN 55421 ",Minneapolis,MN,55421.0,"3913 Roosevelt St NE, Minneapolis, MN 55421"
32900.0,1476.0,-79.96876,40.419426,5040.0,3.0,2.0,2019.0,2019.0,125000.0," 2806 Cobden St Pittsburgh, PA 15203 ",Pittsburgh,PA,15203.0,"2806 Cobden St, Pittsburgh, PA 15203"
109900.0,936.0,-98.60872,29.368614,8930.0,3.0,1.0,1960.0,2019.0,125000.0," 6506 Idlewood Dr San Antonio, TX 78242 ",San Antonio,TX,78242.0,"6506 Idlewood Dr, San Antonio, TX 78242"
539900.0,3400.0,-76.205444,36.735153,15245.999999999998,5.0,4.0,2005.0,2012.0,470000.0," 900 Rockglen Ct Chesapeake, VA 23320 ",Chesapeake,VA,23320.0,"900 Rockglen Ct, Chesapeake, VA 23320"
105000.0,1140.0,-110.93855,32.197742,7615.0,2.0,1.0,1948.0,2019.0,73000.0," 2042 S Wilson Ave Tucson, AZ 85713 ",Tucson,AZ,85713.0,"2042 S Wilson Ave, Tucson, AZ 85713"
203900.0,664.0,-80.83739,35.233047,30491.999999999996,2.0,1.0,2003.0,2007.0,193000.0," 715 N Church St #415 Charlotte, NC 28202 ",Charlotte,NC,28202.0,"715 N Church St #415, Charlotte, NC 28202"
165149.0,1672.0,-76.68773,39.252,7500.0,3.0,2.0,1966.0,1998.0,124900.0," 5216 Larlin Rd Halethorpe, MD 21227 ",Halethorpe,MD,21227.0,"5216 Larlin Rd, Halethorpe, MD 21227"
639900.0,2898.0,-87.70531,41.931072,3750.0,4.0,2.0,1905.0,2019.0,125000.0," 2726 N Albany Ave Chicago, IL 60647 ",Chicago,IL,60647.0,"2726 N Albany Ave, Chicago, IL 60647"
485000.0,2372.0,-80.79988,35.144955,13503.6,4.0,3.0,1977.0,2012.0,272000.0," 1233 Wandering Way Dr Charlotte, NC 28226 ",Charlotte,NC,28226.0,"1233 Wandering Way Dr, Charlotte, NC 28226"
1150000.0,5730.0,-118.1945,33.7944,4687.0,9.0,7.0,1964.0,2019.0,125000.0," 2046 Cedar Ave #A Long Beach, CA 90806 ",Long Beach,CA,90806.0,"2046 Cedar Ave #A, Long Beach, CA 90806"
809000.0,3541.0,-110.89883,32.319855,19602.0,3.0,4.0,2002.0,2002.0,554432.0," 4418 E Pinnacle Ridge Pl Tucson, AZ 85718 ",Tucson,AZ,85718.0,"4418 E Pinnacle Ridge Pl, Tucson, AZ 85718"
309900.0,3929.0,-95.17801,29.920078,9004.0,5.0,4.0,2006.0,2019.0,125000.0," 15722 Bellforest Ct Houston, TX 77044 ",Houston,TX,77044.0,"15722 Bellforest Ct, Houston, TX 77044"
1760285.0,2560.0,-118.12057,33.76312,3533.0,3.0,3.0,1998.0,2019.0,125000.0," 327 Salta Verde Point Long Beach, CA 90803 ",Long Beach,CA,90803.0,"327 Salta Verde Point, Long Beach, CA 90803"
249900.0,1974.0,-93.250336,45.203056,15245.999999999998,3.0,2.0,1976.0,1996.0,105900.0," 748 129th Ave NE Minneapolis, MN 55434 ",Minneapolis,MN,55434.0,"748 129th Ave NE, Minneapolis, MN 55434"
137700.0,1040.0,-119.026665,35.344307,6969.0,3.0,1.0,1955.0,1996.0,70000.0," 2107 Ellen Way Bakersfield, CA 93304 ",Bakersfield,CA,93304.0,"2107 Ellen Way, Bakersfield, CA 93304"
